主力净流入,主力流入,主力流出,超大买单成交量,超大买单成交额,超大卖单成交量,超大卖单成交额,大买单成交量,大买单成交额,大卖单成交量,大卖单成交额,中买单成交量,中买单成交额,中卖单成交量,中卖单成交额,小买单成交量,小买单成交额,小卖单成交量,小卖单成交额,时间区间
-529032.50,3339716,3868748.50,58500,1034667.06,0,0,130543,2305048.94,219500,3868748.50,317857,5617930.05,302740,5342995.79,466241,8237998.55,275319,4864487.94,20190102093000000 to 20190102100000000
-374192,0,374192,0,0,0,0,0,0,21200,374192,154300,2729056.95,89200,1576964.96,191900,3394947.97,109300,1932047.99,20190102100000000 to 20190102103000000
493732.81,493732.81,0,0,0,0,0,28108,493732.81,0,0,23600,416179,40800,718174.00,75200,1325823.80,102700,1807479.01,20190102103000000 to 20190102110000000
1962060.50,2490089.50,528029,140000,2490089.50,0,0,0,0,30000,528029,98820,1749700.58,110492,1954269.20,118000,2088533.79,96480,1702928.99,20190102110000000 to 20190102113000000
0,0,0,0,0,0,0,0,0,0,0,76600,1350243.00,118600,2086424.01,80200,1411962.00,124300,2187828.01,20190102130000000 to 20190102133000000
-1051122.88,681909.12,1733032,0,0,58800,1031209,38900,681909.12,40000,701823,36800,644710.01,180057,3150110.57,79600,1394321.01,162500,2843310.59,20190102133000000 to 20190102140000000
-45952,775628,821580,0,0,0,0,44200,775628,47000,821580,39800,697324.00,54900,959855.00,152600,2669550.02,110300,1929965,20190102140000000 to 20190102143000000
403557,403557,0,0,0,0,0,23100,403557,0,0,68800,1205038,180700,3160668,129300,2262639.99,96043,1680310.49,20190102143000000 to 20190102150000000
